source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Phil Goldberg,person,contributed to,Manufacturers' Accountability Project (MAP),organization,2019,,,The National Association of Manufacturers hired Phil Goldberg as special counsel to help MAP fight against climate change lawsuits filed against oil companies in January 2019.,https://www.desmog.com/manufacturers-accountability-project/
Phil Goldberg,person,is employed by,National Association of Manufacturers (NAM),organization,2019,,,"The National Association of Manufacturers hired Phil Goldberg, managing partner of the Washington, D.C., office of Shook, Hardy & Bacon, as special counsel in January 2019.",https://www.desmog.com/manufacturers-accountability-project/
Phil Goldberg,person,is a member of,"Shook, Hardy & Bacon",organization,,,,"Phil Goldberg is the managing partner of the Washington, D.C., office of Shook, Hardy & Bacon.",https://www.desmog.com/manufacturers-accountability-project/
Phil Goldberg,person,contributed to,coal industry,organization,,,,Goldberg formerly worked as a lobbyist for the coal industry.,https://www.desmog.com/manufacturers-accountability-project/
"Shook, Hardy & Bacon",organization,has partner,Phil Goldberg,person,,,,"Phil Goldberg is the managing partner of the Washington, D.C., office of Shook, Hardy & Bacon.",https://www.desmog.com/manufacturers-accountability-project/
"Shook, Hardy & Bacon",organization,contributed to,tobacco industry,organization,,,,"Phil Goldberg's law firm Shook, Hardy & Bacon has a history of defending the tobacco industry.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Free Enterprise America,organization,,,,"National Association of Manufacturers (NAM) received $2,500,000 from Free Enterprise America.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Freedom Partners,organization,,,,"National Association of Manufacturers (NAM) received $1,170,000 from Freedom Partners.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,American Petroleum Institute,organization,,,,"National Association of Manufacturers (NAM) received $1,163,650 from American Petroleum Institute.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Intel Corporation,organization,,,,"National Association of Manufacturers (NAM) received $1,003,329 from Intel Corporation.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Merck,organization,,,,"National Association of Manufacturers (NAM) received $162,220 from Merck.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Dow Chemical Company,organization,,,,"National Association of Manufacturers (NAM) received $96,119 from Dow Chemical Company.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Alcoa,organization,,,,"National Association of Manufacturers (NAM) received $91,400 from Alcoa.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,Norfolk Southern,organization,,,,"National Association of Manufacturers (NAM) received $71,590 from Norfolk Southern.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,was funded by,John Deere,organization,,,,"National Association of Manufacturers (NAM) received $16,000 from John Deere.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,American Chemistry Council,organization,,,,"National Association of Manufacturers (NAM) provided $790,000 to American Chemistry Council.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,American Justice Partnership,organization,,,,"National Association of Manufacturers (NAM) provided $520,000 to American Justice Partnership.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Manufacturing Institute,organization,,,,"National Association of Manufacturers (NAM) provided $300,000 to Manufacturing Institute.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,The Manufacturing Institute,organization,,,,"National Association of Manufacturers (NAM) provided $200,000 to The Manufacturing Institute.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,BIPAC Business Institute for Political Analysis,organization,,,,"National Association of Manufacturers (NAM) provided $110,000 to BIPAC Business Institute for Political Analysis.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Heartland Institute,organization,,,,"National Association of Manufacturers (NAM) provided $52,500 to Heartland Institute.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,National Foundation for American Policy,organization,,,,"National Association of Manufacturers (NAM) provided $20,000 to National Foundation for American Policy.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,ACCF Center for Policy,organization,,,,"National Association of Manufacturers (NAM) provided $18,000 to ACCF Center for Policy.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Council on Competitiveness,organization,,,,"National Association of Manufacturers (NAM) provided $13,500 to Council on Competitiveness.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Congressional black Caucus,organization,,,,"National Association of Manufacturers (NAM) provided $10,000 to Congressional black Caucus.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Associated Industries of Kentucky,organization,,,,"National Association of Manufacturers (NAM) provided $5,000 to Associated Industries of Kentucky.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Independent Women's Forum,organization,,,,"National Association of Manufacturers (NAM) provided $5,000 to Independent Women's Forum.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Congressional Hispanic Caucus,organization,,,,"National Association of Manufacturers (NAM) provided $5,000 to Congressional Hispanic Caucus.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Friends of Adam Smith,organization,,,,"National Association of Manufacturers (NAM) provided $5,000 to Friends of Adam Smith.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Women's Policy Inc.,organization,,,,"National Association of Manufacturers (NAM) provided $3,000 to Women's Policy Inc.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Institute for International Econ.,organization,,,,"National Association of Manufacturers (NAM) provided $2,000 to Institute for International Econ.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Coalition to Salute America's Heroes,organization,,,,"National Association of Manufacturers (NAM) provided $1,763 to Coalition to Salute America's Heroes.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Minnesota Chamber of Commerce,organization,,,,"National Association of Manufacturers (NAM) provided $1,500 to Minnesota Chamber of Commerce.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,American Enterprise Institute,organization,,,,"National Association of Manufacturers (NAM) provided $1,500 to American Enterprise Institute.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Women in Government Relations,organization,,,,"National Association of Manufacturers (NAM) provided $1,000 to Women in Government Relations.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,Tax Foundation,organization,,,,"National Association of Manufacturers (NAM) provided $1,000 to Tax Foundation.",https://www.desmog.com/manufacturers-accountability-project/
National Association of Manufacturers (NAM),organization,sponsored,House DC,organization,,,,"National Association of Manufacturers (NAM) provided $1,000 to House DC.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Colorado Association of Commerce & Industry (CACI),organization,,,2018,"The MAP lists Colorado Association of Commerce & Industry (CACI) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Georgia Association of Manufacturers (GAM),organization,,,2018,"The MAP lists Georgia Association of Manufacturers (GAM) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Illinois Manufacturers' Association (IMA),organization,,,2018,"The MAP lists Illinois Manufacturers' Association (IMA) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Iowa Association of Business and Industry (ABI),organization,,,2018,"The MAP lists Iowa Association of Business and Industry (ABI) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Kansas Chamber of Commerce,organization,,,2018,"The MAP lists Kansas Chamber of Commerce as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Minnesota Chamber of Commerce,organization,,,2018,"The MAP lists Minnesota Chamber of Commerce as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Mississippi Manufacturers Association (MMA),organization,,,2018,"The MAP lists Mississippi Manufacturers Association (MMA) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Associated Industries of Missouri,organization,,,2018,"The MAP lists Associated Industries of Missouri as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,North Carolina Chamber,organization,,,2018,"The MAP lists North Carolina Chamber as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,New Mexico Business Coalition,organization,,,2018,"The MAP lists New Mexico Business Coalition as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,The Ohio Manufacturers' Association,organization,,,2018,"The MAP lists The Ohio Manufacturers' Association as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Pennsylvania Manufacturers' Association (PMA),organization,,,2018,"The MAP lists Pennsylvania Manufacturers' Association (PMA) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,South Carolina Chamber of Commerce,organization,,,2018,"The MAP lists South Carolina Chamber of Commerce as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Texas Association of Business (TAB),organization,,,2018,"The MAP lists Texas Association of Business (TAB) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Tennessee Chamber of Commerce & Industry,organization,,,2018,"The MAP lists Tennessee Chamber of Commerce & Industry as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,West Virginia Manufacturers Association,organization,,,2018,"The MAP lists West Virginia Manufacturers Association as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Manufacturers' Accountability Project (MAP),organization,is associated with,Wisconsin Manufacturers & Commerce (WMC),organization,,,2018,"The MAP lists Wisconsin Manufacturers & Commerce (WMC) as an endorsing manufacturing organization on its website. Archived February 20, 2018.",https://www.desmog.com/manufacturers-accountability-project/
Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,active since,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,2009,,,The Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE) was founded in 2009.,https://www.desmog.com/va-seee/
S. Fred Singer,Person,contributed to,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,S. Fred Singer founded VA-SEEE in 2009.,https://www.desmog.com/va-seee/
S. Fred Singer,Person,is a member of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,2009,,,S. Fred Singer is a founding member of VA-SEEE.,https://www.desmog.com/va-seee/
S. Fred Singer,Person,is a member of,Science and Environmental Policy Project (SEPP),Organization,,,2009,S. Fred Singer is associated with the Science and Environmental Policy Project (SEPP).,https://www.desmog.com/va-seee/
Kenneth Haapala,Person,is associated with,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,2009,,,Kenneth Haapala is associated with VA-SEEE.,https://www.desmog.com/va-seee/
Kenneth Haapala,Person,is a member of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,Kenneth Haapala was a member of VA-SEEE and testified against the EPA in November 2009.,https://www.desmog.com/va-seee/
Charles Battig,Person,is president of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,Charles Battig is the president of the Piedmont chapter of VA-SEEE.,https://www.desmog.com/va-seee/
William Sargent,Person,is president of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,William Sargent is the Chapter President of the Northern Virginia chapter of VA-SEEE.,https://www.desmog.com/va-seee/
Martin Mangino,Person,is president of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,Martin Mangino is the Chapter President of the Richmond chapter of VA-SEEE.,https://www.desmog.com/va-seee/
John Mcnair,Person,is president of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,John Mcnair is the Chapter President of the Shenandoah chapter of VA-SEEE.,https://www.desmog.com/va-seee/
Brett Newman,Person,is president of,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,Brett Newman is the Chapter President of the Tidewater chapter of VA-SEEE.,https://www.desmog.com/va-seee/
Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,sponsored,Heartland Institute,Organization,,,2015,VA-SEEE was a co-sponsor of the Heartland Institute's Tenth International Conference on Climate Change (ICCC10) in July 2015.,https://www.desmog.com/va-seee/
Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,sponsored,Heartland Institute,Organization,,,2012,VA-SEEE was a co-sponsor of the Heartland Institute's Seventh International Conference on Climate Change (ICCC7) in May 2012.,https://www.desmog.com/va-seee/
Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,sponsored,Heartland Institute,Organization,,,2011,VA-SEEE was a sponsor of the Heartland Institute's Sixth International Conference on Climate Change (ICCC6) in June-July 2011.,https://www.desmog.com/va-seee/
Heartland Institute,Organization,was funded by,Scaife Foundations,Organization,,,2011,The Heartland Institute had collectively received over $46 million from Scaife Foundations by June 2011.,https://www.desmog.com/va-seee/
Heartland Institute,Organization,was funded by,Koch Foundations,Organization,,,2011,The Heartland Institute had collectively received over $46 million from Koch Foundations by June 2011.,https://www.desmog.com/va-seee/
Heartland Institute,Organization,was funded by,ExxonMobil,Organization,,,2011,The Heartland Institute had collectively received over $46 million from ExxonMobil by June 2011.,https://www.desmog.com/va-seee/
Heartland Institute,Organization,has partner,Science and Environmental Policy Project (SEPP),Organization,,,2011,The Heartland Institute coordinated with SEPP to dispute reports of the official Intergovernmental Panel on Climate Change (IPCC).,https://www.desmog.com/va-seee/
Heartland Institute,Organization,sponsored,Nongovernmental International Panel on Climate Change (NIPCC),Organization,,,2011,"The Heartland Institute funded the NIPCC, a panel of 'experts'.",https://www.desmog.com/va-seee/
Nongovernmental International Panel on Climate Change (NIPCC),Organization,was funded by,Heartland Institute,Organization,,,2011,The Nongovernmental International Panel on Climate Change (NIPCC) was funded by the Heartland Institute.,https://www.desmog.com/va-seee/
Nongovernmental International Panel on Climate Change (NIPCC),Organization,is associated with,Science and Environmental Policy Project (SEPP),Organization,,,2011,The NIPCC was coordinated with the Science and Environmental Policy Project (SEPP).,https://www.desmog.com/va-seee/
Science and Environmental Policy Project (SEPP),Organization,has partner,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2011,"SEPP had a joint meeting with VA-SEEE on October 22, 2011, discussing 'Climate Change Reconsidered'.",https://www.desmog.com/va-seee/
Science and Environmental Policy Project (SEPP),Organization,is associated with,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2011,SEPP and VA-SEEE coordinated on NIPCC reports and share S. Fred Singer as a key member.,https://www.desmog.com/va-seee/
Martin Mangino,Person,contributed to,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2011,Martin J. Mangino authored a white paper for VA-SEEE released in 2011.,https://www.desmog.com/va-seee/
Martin Mangino,Person,contributed to,Science Museum of Virginia,Organization,,,2009,Martin J. Mangino of VA-SEEE sent an open letter to the Science Museum of Virginia in September 2009.,https://www.desmog.com/va-seee/
Randy Randol,Person,contributed to,Science Museum of Virginia,Organization,,,2009,Randy Randol of VA-SEEE sent an open letter to the Science Museum of Virginia in September 2009.,https://www.desmog.com/va-seee/
Charles Battig,Person,contributed to,Jefferson Area Tea Party,Organization,,,2011,Charles Battig represented VA-SEEE at a Jefferson Area Tea Party event in March 2011.,https://www.desmog.com/va-seee/
Kenneth Haapala,Person,contributed to,EPA,Organization,,,2009,Kenneth Haapala testified against the EPA in November 2009.,https://www.desmog.com/va-seee/
S. Fred Singer,Person,contributed to,Financial Chronicle,Organization,,,2009,S. Fred Singer published an article in the Financial Chronicle in September 2009.,https://www.desmog.com/va-seee/
Financial Chronicle,Organization,has partner,Northern Virginia Chapter of Scientists and Engineers for Energy and Environment (VA-SEEE),Organization,,,2009,An article published by S. Fred Singer in the Financial Chronicle was republished by VA-SEEE in 2009.,https://www.desmog.com/va-seee/
William Kininmonth,person,is employed by,Australian Bureau of Meteorology,organisation,1985,1998,,"William Kininmonth headed the Australian Bureau of Meteorology's national climate center for 12 years, from November 14, 1985, to January 8, 1998. The center's activities mainly centered on climate database management and climate monitoring activities, not human-caused climate change research.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,is director of,Australasian Climate Research Institute,organisation,,,,"William Kininmonth is the director of the 'Australasian Climate Research Institute,' which appears to be run out of his home in Australia.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,is a member of,Global Warming Policy Foundation (GWPF),organisation,2018,,,"William Kininmonth is a Member of the Academic Advisory Council of the Global Warming Policy Foundation (GWPF) since May 22, 2018.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,is a member of,Australian Climate Science Coalition (ACSC),organisation,,2010,,"William Kininmonth is a Member of the 'Scientific Advisory Panel' of the Australian Climate Science Coalition (ACSC). The information was archived April 5, 2010.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,contributed to,Lavoisier Group,organisation,,,,William Kininmonth is a Contributor to the Lavoisier Group. The Lavoisier Group also helped launch Kininmonth's book 'Climate Change; a natural hazard' in November 2004.,https://www.desmog.com/william-kininmonth/
William Kininmonth,person,is a member of,International Climate Science Coalition (ICSC),organisation,,,2012,"William Kininmonth is a Member of the ICSC 'Scientific Advisory Board.' The information was accessed January, 2012.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,contributed to,Science and Public Policy Institute (SPPI),organisation,,,2012,"William Kininmonth is a 'Science Adviser' to the Science and Public Policy Institute (SPPI). The information was accessed January, 2012.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,contributed to,The Heartland Institute,organisation,,,2012,"William Kininmonth is listed as an 'Expert' at The Heartland Institute. He was a speaker at several International Conferences on Climate Change (ICCC) organized by The Heartland Institute in 2009, 2010, and 2014.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,is a member of,The Galileo Movement,organisation,,,2016,"William Kininmonth is a Member of the independent advisory panel of The Galileo Movement. The information was archived September 24, 2016.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,contributed to,Nongovernmental Panel on Climate Change,organisation,,,2013,"Kininmonth was a lead author of the first chapter of a report from the Nongovernmental Panel on Climate Change in September 2013, a project funded through the Chicago-based Heartland Institute.",https://www.desmog.com/william-kininmonth/
William Kininmonth,person,contributed to,Fraser Institute,organisation,,,2007,Kininmonth was on the 'writing team' for the Fraser Institute's 2007 independent summary for policymakers (ISPM) in February 2007.,https://www.desmog.com/william-kininmonth/
The Heartland Institute,organisation,sponsored,Nongovernmental Panel on Climate Change,organisation,,,2013,The Nongovernmental Panel on Climate Change (NIPCC) is a project funded through the Chicago-based Heartland Institute.,https://www.desmog.com/william-kininmonth/
George David Banks,person,is employed by,American Council for Capital Formation (ACCF),organization,2015,,,George David Banks is listed as executive vice president with the American Council for Capital Formation (ACCF). His LinkedIn profile shows he was Executive Vice President from Jan 2015 to Feb 2017 and also from Mar 2018 to Present.,https://www.desmog.com/george-david-banks/
George David Banks,person,is employed by,Columbia University Center on Global Energy Policy (CGEP),organization,2018,,,"In 2018, Banks was hired to be an expert on 'international climate policy' for the Columbia University Center on Global Energy Policy (CGEP) and is listed as Adjunct Research Scholar since April 2018.",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,Trump Administration,organization,,2018,,"George David Banks was an energy advisor and 'Special Assistant to the President' on international energy and environment in the Trump Administration, leaving in February 2018.",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,Bipartisan Policy Center,organization,2021,,,"After leaving the Trump administration, Banks became a fellow at the Bipartisan Policy Center.",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,Atlantic Council,organization,2021,,,"After leaving the Trump administration, Banks became a senior fellow with the Atlantic Council.",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,Citizens For Responsible Energy Solutions,organization,2021,,,"After leaving the Trump administration, Banks became a senior fellow with Citizens For Responsible Energy Solutions.",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,White House Council on Environmental Quality (CEQ),organization,2006,2009,,"Before joining ACCF in 2015, Banks was senior adviser on international affairs and climate change at the White House Council on Environmental Quality (CEQ) under George W. Bush from August 2006 to January 2009.",https://www.desmog.com/george-david-banks/
George David Banks,person,has partner,Boyden Gray & Associates,organization,2009,2011,,Banks worked as a partner at Boyden Gray & Associates from February 2009 to July 2011.,https://www.desmog.com/george-david-banks/
George David Banks,person,is employed by,Senate Committee on Environment and Public Works,organization,2011,2012,,"Banks formerly worked under James Inhofe at the Senate Committee on Environment and Public Works, replacing Mike Catanzaro as the EPW's Deputy Staff Director in June 2011 until August 2012.",https://www.desmog.com/george-david-banks/
George David Banks,person,is associated with,Alliance for Wise Energy Decisions (AWED),organization,,,,"The Energy and Policy Institute reports that Banks has also worked with the Alliance for Wise Energy Decisions (AWED), an anti-wind activist group, and was its Former Director of D.C. Operations. He also met with House Speaker John Boehner alongside AWED representatives in December 2012.",https://www.desmog.com/george-david-banks/
George David Banks,person,is associated with,American Energy Alliance (AEA),organization,,,,"During his time at AWED, Banks also worked closely with the American Energy Alliance (AEA).",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,The Heartland Institute,organization,,,,George David Banks was formerly a policy advisor at the Heartland Institute.,https://www.desmog.com/george-david-banks/
George David Banks,person,is director of,Vanguard Political,organization,,,,Banks has been listed as Managing Director of Vanguard Political.,https://www.desmog.com/george-david-banks/
Boyden Gray & Associates,organization,has partner,Constellation Energy,organization,2009,2010,,Boyden Gray & Associates PLLC and Gray & Schmitz LLP had Constellation Energy as a client. George David Banks was a registered lobbyist for energy companies with clients including Constellation.,https://www.desmog.com/george-david-banks/
Boyden Gray & Associates,organization,has partner,FirstEnergy,organization,2010,2011,,Boyden Gray & Associates PLLC and Gray & Schmitz LLP had FirstEnergy Corporation as a client. George David Banks was a registered lobbyist for energy companies with clients including FirstEnergy.,https://www.desmog.com/george-david-banks/
Boyden Gray & Associates,organization,has partner,Nuclear Energy Institute,organization,2009,,,Gray & Schmitz LLP had Nuclear Energy Institute as a client. George David Banks was a registered lobbyist for energy companies with clients including the Nuclear Energy Institute.,https://www.desmog.com/george-david-banks/
American Council for Capital Formation (ACCF),organization,contributed to,George David Banks,person,2015,2016,,"Banks was a registered lobbyist for ACCF on 'Tax, Environment, and Regulatory Issues' in 2015 and 2016.",https://www.desmog.com/george-david-banks/
Columbia University Center on Global Energy Policy (CGEP),organization,was funded by,ExxonMobil,organization,2014,2222,,"In 2015, Politico revealed that ExxonMobil was a key donor to CGEP, giving $219,229 to Columbia University in 2014, plus $9,000 in direct grants, and $25,000 to the markets program at CGEP. ExxonMobil increased funding to CGEP to $50,000 in 2015 and 2016.",https://www.desmog.com/george-david-banks/
Bipartisan Policy Center,organization,was funded by,ExxonMobil,organization,,,,The Bipartisan Policy Center has received significant funding from large corporations including ExxonMobil.,https://www.desmog.com/george-david-banks/
Bipartisan Policy Center,organization,was funded by,Charles Koch Foundation,organization,2017,,,"In 2017, the Bipartisan Policy Center received $60,000 in funding from the Charles Koch Foundation.",https://www.desmog.com/george-david-banks/
George David Banks,person,is director of,"Battle Group, LLC",organization,2012,2014,,"George David Banks was Managing Director of Battle Group, LLC from September 2012 to December 2014.",https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,Center for Strategic and International Studies (CSIS),organization,,,,George David Banks was a Senior Fellow in the nuclear energy program at the Center for Strategic and International Studies (CSIS). He also co-authored a June 2013 report by CSIS on nuclear energy policy.,https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,Institute for Governance and Sustainable Development (IGSD),organization,2009,2010,,George David Banks was a Senior Law Fellow at the Institute for Governance and Sustainable Development (IGSD) from February 2009 to August 2010.,https://www.desmog.com/george-david-banks/
George David Banks,person,is employed by,U.S. Department of State,organization,,,,"George David Banks was a Foreign Service Officer – Deputy Head of EST Unit, Economic Section at the U.S. Department of State.",https://www.desmog.com/george-david-banks/
George David Banks,person,is employed by,Central Intelligence Agency,organization,1995,2003,,George David Banks was an Economic & Legal Analyst at the Central Intelligence Agency from August 1995 to December 2003.,https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,U.S. House of Representatives,organization,,,,George David Banks was a Legislative Fellow for Howard Berman in the U.S. House of Representatives.,https://www.desmog.com/george-david-banks/
George David Banks,person,is a member of,ClearPath Foundation,organization,,,,George David Banks is a Board Member & Policy Advisor at the ClearPath Foundation.,https://www.desmog.com/george-david-banks/
Chris Fink,person,is president of,Americans for Prosperity Foundation (AFPF),organization,2009,2018,,Chris Fink was the president of the Americans for Prosperity Foundation (AFPF) from 2009 until 2018.,https://www.desmog.com/chris-fink/
Chris Fink,person,is president of,Fink Family Foundation,organization,2016,,,He currently serves as president of the Fink Family Foundation.,https://www.desmog.com/chris-fink/
Chris Fink,person,is president of,Fink Solutions,organization,2017,,,He currently serves as president of Fink Solutions.,https://www.desmog.com/chris-fink/
Chris Fink,person,is employed by,Human Rights Foundation,organization,2018,,,He currently serves as the COO of the Human Rights Foundation.,https://www.desmog.com/chris-fink/
Chris Fink,person,is employed by,Johnson & Fink Enterprises,organization,,2009,,"Before he joined AFPF in 2009, Fink was chief operations officer and co-owner of Johnson & Fink Enterprises.",https://www.desmog.com/chris-fink/
Chris Fink,person,is a member of,Johnson & Fink Enterprises,organization,,2009,,"Before he joined AFPF in 2009, Fink was chief operations officer and co-owner of Johnson & Fink Enterprises.",https://www.desmog.com/chris-fink/
Chris Fink,person,is a member of,Johnson & Fink Mortgage,organization,,2009,,"He was co-owner of Johnson & Fink Mortgage, his other co-owned business.",https://www.desmog.com/chris-fink/
Americans for Prosperity Foundation (AFPF),organization,was funded by,Koch Family Foundations,organization,,,,"Both Americans for Prosperity (AfP) and its 501(c)(3) counterpart, the Americans for Prosperity Foundation, have been among the largest recipients of funding from Koch Family Foundations.",https://www.desmog.com/chris-fink/
