source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Air Liquide,organization,is a member of,Energy Council of South Africa,organization,,,,Air Liquide has a relationship with Energy Council of South Africa.,https://lobbymap.org/company/Air-Liquide/projectlink/Air-Liquide-In-Climate-Change
Air Liquide,organization,is a member of,Korea Hydrogen Alliance (Formerly H2KOREA),organization,,,,Air Liquide has a relationship with Korea Hydrogen Alliance (Formerly H2KOREA).,https://lobbymap.org/company/Air-Liquide/projectlink/Air-Liquide-In-Climate-Change
Air Liquide,organization,is a member of,US Chamber of Commerce,organization,,,,Air Liquide has a relationship with US Chamber of Commerce.,https://lobbymap.org/company/Air-Liquide/projectlink/Air-Liquide-In-Climate-Change
Air Liquide,organization,is a member of,Japan Chemical Industry Association (JCIA),organization,,,,Air Liquide has a relationship with Japan Chemical Industry Association (JCIA).,https://lobbymap.org/company/Air-Liquide/projectlink/Air-Liquide-In-Climate-Change
Air Liquide,organization,is a member of,Federation of German Industries (BDI),organization,,,,Air Liquide has a relationship with Federation of German Industries (BDI).,https://lobbymap.org/company/Air-Liquide/projectlink/Air-Liquide-In-Climate-Change
Air Liquide,organization,is a member of,German Chemical Industry Association (VCI),organization,,,,Air Liquide has a relationship with German Chemical Industry Association (VCI).,https://lobbymap.org/company/Air-Liquide/projectlink/Air-Liquide-In-Climate-Change
Toyota Motor,Organization,is a member of,Japan Automobile Manufacturers Association (JAMA),Organization,,,2025,"Toyota retains high-level positions in industry groups with negative engagement with climate policy, including Japan Automobile Manufacturers Association (JAMA).",https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is a member of,Federal Chamber of Automotive Industries (FCAI),Organization,,,2025,"Toyota retains high-level positions in industry groups, including the Australian Federal Chamber of Automotive Industries (FCAI) where a Toyota executive is Deputy Chair.",https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is a member of,European Automobile Manufacturers Association (ACEA),Organization,,,2025,Toyota has disclosed it is a board member of the European Automobile Manufacturers Association (ACEA).,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is a member of,Alliance for Automotive Innovation,Organization,,,2025,Toyota has disclosed it is a board member of the US-based Alliance for Automotive Innovation.,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is a member of,Society of Motor Manufacturers and Traders (SMMT),Organization,,,2025,Toyota has disclosed it is a board member of the UK-based Society of Motor Manufacturers and Traders.,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is a member of,Japan Business Federation (Keidanren),Organization,,,2025,An executive from Toyota Motor is a Board Vice Chair of Japan Business Federation (Keidanren).,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is associated with,Hino Motors,Organization,,,2025,Hino Motors is listed under 'Brands and Associated Companies' of Toyota Motor.,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is associated with,Daihatsu Motor,Organization,,,2025,Daihatsu Motor is listed under 'Brands and Associated Companies' of Toyota Motor.,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Toyota Motor,Organization,is associated with,Lexus,Organization,,,2025,Lexus is listed under 'Brands and Associated Companies' of Toyota Motor.,https://lobbymap.org/company/Toyota-Motor/projectlink/Toyota-Motor-In-Climate-Change
Antoine de Saint-Affrique,person,is employed by,Danone,organization,,,2024,"Antoine de Saint-Affrique is identified as the CEO of Danone, as mentioned in an October 2024 LinkedIn post.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Sustainable Food Policy Alliance,organization,,,2023,"Danone is a member of the Sustainable Food Policy Alliance, a membership noted as not disclosed in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Asociación Nacional de Empresarios de Colombia (ANDI),organization,,,2023,"Danone is a member of the Asociación Nacional de Empresarios de Colombia (ANDI), a membership noted as not disclosed in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Consumer Goods Forum,organization,,,2023,"Danone is listed as a member of the Consumer Goods Forum in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Food Industry Asia (FIA),organization,,,2023,"Danone is listed as a member of Food Industry Asia (FIA) in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,FoodDrinkEurope,organization,,,2023,"Danone is listed as a member of FoodDrinkEurope in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,European Dairy Association (EDA),organization,,,2023,"Danone is listed as a member of the European Dairy Association (EDA) in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,European Brands Association (AIM),organization,,,2023,"Danone is listed as a member of the European Brands Association (AIM) in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Brazilian Association of Food Industries (ABIA),organization,,,2023,"Danone is listed as a member of the Brazilian Association of Food Industries (ABIA) in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Confederation of Indian Industry (CII),organization,,,2023,"Danone is listed as a member of the Confederation of Indian Industry (CII) in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,French Association of Large Companies (AFEP),organization,,,2023,"Danone is listed as a member of the French Association of Large Companies (AFEP) in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Seidanren,organization,,,2023,"Danone is listed as a member of Seidanren in the relationship grid, consistent with its general disclosure of memberships in its 2023 Policy on Advocacy document.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is a member of,Business Coalition for a Global Plastics Treaty,organization,,,2025,"Danone has consistently advocated for a UN Global Plastics treaty through the Business Coalition for a Global Plastics Treaty, with evidence of engagement in 2024 and 2025.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,has partner,Ceres,organization,,,2025,Danone participated in a March 2025 joint Ceres initiative advocating to federal policymakers to maintain climate investments of the Inflation Reduction Act.,https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Danone,organization,is associated with,We Mean Business Coalition,organization,,,2026,"Danone is associated with the We Mean Business Coalition by sharing insights at an annual corporate climate advocacy forum co-hosted by the coalition, as highlighted in a January 2026 report.",https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
InfluenceMap,organization,active since,2015,gYear,,,,InfluenceMap has been producing research and reports on corporate and industry association lobbying of climate policy since 2015.,https://lobbymap.org/company/Danone-6be5beb49a7372f16770d9ab55571c0f/projectlink/Danone-In-Climate-Change
Yamato Holdings,organization,is a member of,Japan Association for Logistics and Transport (JALoT),organization,,,,Membership with Japan Association for Logistics and Transport (JALoT),https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Yamato Holdings,organization,is a member of,Japan Business Federation (Keidanren),organization,,,,Membership with Japan Business Federation (Keidanren),https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Yamato Holdings,organization,is a member of,Japan Association of Corporate Executives (Keizai Doyukai),organization,,,,Membership with Japan Association of Corporate Executives (Keizai Doyukai),https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Yamato Holdings,organization,is a member of,Automobile Business Association of Japan (ABAJ),organization,,,,Membership with Automobile Business Association of Japan (ABAJ),https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Yamato Holdings,organization,is a member of,Consumer Goods Forum,organization,,,,Membership with Consumer Goods Forum,https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Yamato Holdings,organization,is a member of,Japan Department Stores Association,organization,,,,Membership with Japan Department Stores Association,https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Yamato Holdings,organization,is a member of,Japan Hydrogen Association (JH2A),organization,,,,Membership with Japan Hydrogen Association (JH2A),https://lobbymap.org/company/Yamato-Holdings-b89460542f4668e48ce326c3d784ceb9/projectlink/Yamato-Holdings-in-Climate-Change-4816c617d99233fabedd46be72a38e65
Timm Kehler,person,is president of,Natural & bio Gas Vehicle Association (NGVA Europe),organization,,,2022,"Timm Kehler is identified as the President of NGVA Europe, making comments in December 2022.",https://influencemap.org/influencer/Natural-bio-Gas-Vehicle-Association-NGVA-Europe-99353fbfa41cc51d30c7b58b1954ad74
Timm Kehler,person,is president of,Natural & bio Gas Vehicle Association (NGVA Europe),organization,,,2023,"Timm Kehler is identified as the President of NGVA Europe, advocating in a May 2023 press release.",https://influencemap.org/influencer/Natural-bio-Gas-Vehicle-Association-NGVA-Europe-99353fbfa41cc51d30c7b58b1954ad74
Merlin Cochran,person,is director of,Asociación Mexicana de Empresas de Hidrocarburos (AMEXHI),organisation,2023,2024,,"Merlin Cochran, as Director General, consistently supported new bidding and permitting rounds for hydrocarbon exploration in Mexico in 2023-24.",https://influencemap.org/influencer/AMEXHI-bcba40c203b9eb33bfc6709d9265fa05/projectlink/AMEXHI-in-Climate-Change-733b6594f6a00f4541beac7a3459779d
Alberto de la Fuente,person,is president of,Asociación Mexicana de Empresas de Hidrocarburos (AMEXHI),organisation,,,2024,"In August 2024, Alberto de la Fuente, as President, advocated to the new Mexican President to explore fracking to produce more fossil gas.",https://influencemap.org/influencer/AMEXHI-bcba40c203b9eb33bfc6709d9265fa05/projectlink/AMEXHI-in-Climate-Change-733b6594f6a00f4541beac7a3459779d
LobbyMap,organisation,is derived from,InfluenceMap,organisation,2015,,,"LobbyMap is identified as a program or platform of InfluenceMap, maintaining a leading database on corporate and industry association lobbying.",https://influencemap.org/influencer/Plastics-Europe-83ed94e8199aa815fc3dba15aee6ba4a
InfluenceMap,organisation,has partner,Climate Action 100+,organisation,,,,InfluenceMap (via its LobbyMap program) serves as a data provider to the Climate Action 100+ investor process.,https://influencemap.org/influencer/Plastics-Europe-83ed94e8199aa815fc3dba15aee6ba4a
InfluenceMap,organisation,has partner,We Mean Business Coalition,organisation,,,2026,"InfluenceMap and We Mean Business Coalition jointly held an annual corporate climate advocacy forum, reported in January 2026.",https://influencemap.org/influencer/Plastics-Europe-83ed94e8199aa815fc3dba15aee6ba4a
SolarPower Europe,organization,active since,2022,gYear,,,,"SolarPower Europe has been actively engaged in EU climate policy discussions and reforms, with specific activities documented from 2022 onwards, including support for the Energy Performance of Buildings Directive (EPBD) reform in 2022-25 and various policy statements up to February 2025.",https://influencemap.org/company/SolarPower-Europe-6b9e83a08c023dcebddf329d03c1c7b7/projectlink/SolarPower-Europe-in-Climate-Change-3c1c4b3bc86c6c50762fe9fe8f30abb1
Walburga Hemetsberger,person,is director of,SolarPower Europe,organization,2024,,,Walburga Hemetsberger is identified as the CEO of SolarPower Europe. Her statements and advocacy efforts in this role are reported across multiple instances from February 2024 to June 2024.,https://influencemap.org/company/SolarPower-Europe-6b9e83a08c023dcebddf329d03c1c7b7/projectlink/SolarPower-Europe-in-Climate-Change-3c1c4b3bc86c6c50762fe9fe8f30abb1
SolarPower Europe,organization,is a member of,Electrification Alliance,organization,,,2023,"SolarPower Europe is noted as 'part of the Electrification Alliance' in an October 2023 manifesto, where it supported the EU Energy Taxation Reform.",https://influencemap.org/company/SolarPower-Europe-6b9e83a08c023dcebddf329d03c1c7b7/projectlink/SolarPower-Europe-in-Climate-Change-3c1c4b3bc86c6c50762fe9fe8f30abb1
UBS,organization,is derived from,UBS Asset Management,organization,,,,UBS Asset Management is listed as a brand and associated company of UBS.,https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
Sergio Ermotti,person,is employed by,UBS,organization,,,2024,UBS CEO Sergio Ermotti opposed sustainable finance regulation in the banking sector in March 2024.,https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
Sergio Ermotti,person,is president of,UBS,organization,,,2024,UBS CEO Sergio Ermotti opposed sustainable finance regulation in the banking sector in March 2024.,https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Bank Policy Institute (BPI),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Institute of International Finance (IIF),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,TheCityUK,organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,The Investment Association,organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Association for Financial Markets in Europe (AFME),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Managed Funds Association,organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Securities Industry and Financial Markets Association (SIFMA),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,American Retirement Association (ARA),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,UK Finance,organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,International Swaps and Derivatives Association (ISDA),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,European Fund and Asset Management Association (EFAMA),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Canadian Bankers Association,organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Investment Company Institute (ICI),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Business Council of Australia (BCA),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,European Business Aviation Association,organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Institutional Investors Group on Climate Change (IIGCC),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
UBS,organization,is a member of,Association of British Insurers (ABI),organization,,,2023,"UBS has disclosed its membership in this industry association, with its membership and activities updated in 2023.",https://lobbymap.org/company/UBS-Group-c6025ebf50c31ab0f4ae8c0b95b0e682/projectlink/UBS-in-Climate-Finance-15e70a914ca6e93d7a5966f8f497b72a
LobbyMap,organization,is derived from,InfluenceMap,organization,2015,,,"LobbyMap, described as a database and platform, is part of InfluenceMap's programs, indicating its origin from InfluenceMap.",https://lobbymap.org/company/China-Vanke-ac4861adee736b7617c0b18c0555ac8f/projectlink/China-Vanke-in-Climate-Change-c891dca310ea89b2a95165f9e5825067
InfluenceMap,organization,sponsored,Climate Action 100+,organization,2015,,,"InfluenceMap states 'We are a data provider to the Climate Action 100+ investor process,' providing in-kind support.",https://lobbymap.org/company/China-Vanke-ac4861adee736b7617c0b18c0555ac8f/projectlink/China-Vanke-in-Climate-Change-c891dca310ea89b2a95165f9e5825067
LobbyMap,organization,active since,2015,gYear,,,,"LobbyMap, as part of InfluenceMap's research and reports which include its database, has been active since 2015.",https://lobbymap.org/company/China-Vanke-ac4861adee736b7617c0b18c0555ac8f/projectlink/China-Vanke-in-Climate-Change-c891dca310ea89b2a95165f9e5825067
LobbyMap,organization,active until,2026,gYear,,,,"The LobbyMap platform contains reports dated up to February 2026, and the page itself was created on 24/02/2026.",https://lobbymap.org/company/China-Vanke-ac4861adee736b7617c0b18c0555ac8f/projectlink/China-Vanke-in-Climate-Change-c891dca310ea89b2a95165f9e5825067
InfluenceMap,organization,active since,2015,gYear,,,,"InfluenceMap's research and reports have been informing investors, the media, and the corporate sector since 2015.",https://lobbymap.org/company/China-Vanke-ac4861adee736b7617c0b18c0555ac8f/projectlink/China-Vanke-in-Climate-Change-c891dca310ea89b2a95165f9e5825067
InfluenceMap,organization,active until,2026,gYear,,,,"InfluenceMap publishes reports dated up to February 2026, and the page itself was created on 24/02/2026.",https://lobbymap.org/company/China-Vanke-ac4861adee736b7617c0b18c0555ac8f/projectlink/China-Vanke-in-Climate-Change-c891dca310ea89b2a95165f9e5825067
LobbyMap,Organization,is derived from,InfluenceMap,Organization,2015,,,"LobbyMap is a platform developed by InfluenceMap, an independent think tank. InfluenceMap's research and reports have been informing investors, the media and the corporate sector since 2015.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
InfluenceMap,Organization,active since,2015,gYear,2015,,,"InfluenceMap's research and reports have been informing investors, the media and the corporate sector since 2015.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
CME’s Director of Policy and Ontario Governmental Relations,Person,is director of,Canadian Manufacturers & Exporters,Organization,,,2024,"In April 2024, CME’s Director of Policy and Ontario Governmental Relations testified in support of the province’s Keeping Energy Costs Down Act.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
Canadian Manufacturers & Exporters,Organization,is associated with,Canada,Organization,,,,"Canadian Manufacturers & Exporters has its headquarters in Ottawa, Canada.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
Canadian Manufacturers & Exporters,Organization,is associated with,CDP,Organization,,,,"Canadian Manufacturers & Exporters provides responses to CDP's climate change information request, indicating an association through climate reporting initiatives.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
Canadian Manufacturers & Exporters,Organization,is associated with,Paris Agreement,Organization,,,2022,"In December 2022 comments, CME appeared to support net-zero targets in line with the Paris Agreement.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
InfluenceMap,Organization,is associated with,We Mean Business Coalition,Organization,,,2026,"InfluenceMap and We Mean Business Coalition held an annual corporate climate advocacy forum, as referenced in a briefing published in January 2026.",https://influencemap.org/influencer/Canadian-Manufacturers-Exporters-5393e0b0178b2ccc27f3dfcf95aaca63
TUI,Organization,is associated with,TUIfly,Organization,,,,TUIfly is identified as a wholly owned subsidiary of TUI.,https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
TUI,Organization,is associated with,TUI Airways,Organization,,,,TUI Airways is identified as a subsidiary of TUI.,https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
TUI,Organization,is a member of,Airlines for Europe (A4E),Organization,,,,TUI is a member of Airlines for Europe.,https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
TUIfly,Organization,is a member of,International Air Transport Association (IATA),Organization,,,,"TUIfly, a wholly owned subsidiary of TUI, is a member of the International Air Transport Association.",https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
TUI Airways,Organization,is a member of,Airlines UK,Organization,,,,"TUI Airways, a subsidiary of TUI, is a member of Airlines UK.",https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
Sebastian Ebel,Person,is employed by,TUI,Organization,,,2024,Sebastian Ebel is identified as TUI's CEO.,https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
Sebastian Ebel,Person,is director of,TUI,Organization,,,2024,"Sebastian Ebel is identified as TUI's CEO, which is a directorial role.",https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
LobbyMap,Organization,is derived from,InfluenceMap,Organization,,,,"LobbyMap is identified as a program or platform originating from InfluenceMap, which is an independent think tank.",https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
LobbyMap,Organization,active since,2015,gYear,2015,,,"LobbyMap's research and reports have been informing investors, the media, and the corporate sector since 2015.",https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
FinanceMap,Organization,is derived from,InfluenceMap,Organization,,,,"FinanceMap is identified as a program or platform originating from InfluenceMap, which is an independent think tank.",https://lobbymap.org/company/TUI-5414be29d9736acc3a0a8ff5d5fb0339/projectlink/TUI-in-Climate-Change-974be33e2db06629bfbe32307975470e
Shinetsu Chemicals,Organization,is a member of,PlasticsEurope,Organization,,,,"Shinetsu Chemicals has links to PlasticsEurope, an Industry Association listed in the LobbyMap database.",https://lobbymap.org/company/Shinetsu-Chemicals/projectlink/Shinetsu-Chemicals-In-Climate-Change
Shinetsu Chemicals,Organization,is a member of,Japan Business Federation (Keidanren),Organization,,,,"Shinetsu Chemicals has links to Japan Business Federation (Keidanren), an Industry Association listed in the LobbyMap database.",https://lobbymap.org/company/Shinetsu-Chemicals/projectlink/Shinetsu-Chemicals-In-Climate-Change
Shinetsu Chemicals,Organization,is a member of,Japan Chemical Industry Association (JCIA),Organization,,,,"Shinetsu Chemicals has links to Japan Chemical Industry Association (JCIA), an Industry Association listed in the LobbyMap database.",https://lobbymap.org/company/Shinetsu-Chemicals/projectlink/Shinetsu-Chemicals-In-Climate-Change
Shinetsu Chemicals,Organization,is a member of,Japan Electronics And Information Technology Industries Association (JEITA),Organization,,,,"Shinetsu Chemicals has links to Japan Electronics And Information Technology Industries Association (JEITA), an Industry Association listed in the LobbyMap database.",https://lobbymap.org/company/Shinetsu-Chemicals/projectlink/Shinetsu-Chemicals-In-Climate-Change
Shinetsu Chemicals,Organization,is a member of,European Chemical Industry Council (Cefic),Organization,,,,"Shinetsu Chemicals has links to European Chemical Industry Council (Cefic), an Industry Association listed in the LobbyMap database.",https://lobbymap.org/company/Shinetsu-Chemicals/projectlink/Shinetsu-Chemicals-In-Climate-Change
The Transport Project,Organization,same as,NGVAmerica,Organization,,,,The Transport Project was formerly known as NGVAmerica.,https://influencemap.org/influencer/The-Transport-Project-278ce606732c77d1d218d92ef1556f13
